acc,loss,val_acc,val_loss,trial_no,aug1_type,aug1_magnitude,aug2_type,aug2_magnitude,portion,sample_no,reward,epoch,acc_overfit
0.12,2.29,0.156,2.247,1112,horizontal-flip,0.946,gamma-contrast,0.8490000000000001,0.968,1,0.5820000000000001,0.0,-0.036000000000000004
0.10800000000000001,2.302,0.15,2.299,60,crop,0.897,invert,0.024,0.619,1,0.564,0.0,-0.04199999999999998
0.11199999999999999,2.3040000000000003,0.125,2.2880000000000003,1485,horizontal-flip,0.825,horizontal-flip,0.022000000000000002,0.6609999999999999,1,0.562,0.0,-0.013000000000000012
0.105,2.302,0.156,2.279,500,translate-x,0.33399999999999996,fog,0.462,0.462,1,0.561,0.0,-0.051000000000000004
0.128,2.278,0.11,2.272,62,crop,0.8809999999999999,emboss,0.06,0.498,1,0.5589999999999999,0.0,0.018000000000000002
0.115,2.296,0.21100000000000002,2.265,670,horizontal-flip,0.33399999999999996,crop,0.299,0.44,1,0.5579999999999999,0.0,-0.09600000000000002
0.106,2.296,0.15,2.254,370,add-to-hue-and-saturation,0.478,shear,0.195,0.9,1,0.5579999999999999,0.0,-0.044
0.111,2.298,0.184,2.272,1008,vertical-flip,0.654,shear,0.207,0.9159999999999999,1,0.5579999999999999,0.0,-0.073
0.11800000000000001,2.299,0.185,2.266,331,add-to-hue-and-saturation,0.157,coarse-dropout,0.201,0.986,1,0.5539999999999999,0.0,-0.06699999999999999
0.133,2.2680000000000002,0.205,2.1790000000000003,51,crop,0.858,translate-x,0.262,1.0,1,0.551,0.0,-0.07199999999999998
0.11599999999999999,2.291,0.17600000000000002,2.252,156,add-to-hue-and-saturation,0.047,vertical-flip,0.212,0.785,1,0.551,0.0,-0.060000000000000026
0.105,2.301,0.10800000000000001,2.306,270,rotate,0.7190000000000001,fog,0.028999999999999998,0.512,1,0.551,0.0,-0.0030000000000000165
0.135,2.266,0.183,2.162,224,brighten,0.342,gaussian-blur,0.966,0.664,1,0.55,0.0,-0.04799999999999999
0.106,2.303,0.10400000000000001,2.275,1247,horizontal-flip,0.813,translate-y,0.025,0.6629999999999999,1,0.5489999999999999,0.0,0.001999999999999988
0.11,2.3,0.149,2.282,1197,horizontal-flip,0.894,brighten,0.973,0.655,1,0.5479999999999999,0.0,-0.03899999999999999
0.124,2.276,0.187,2.16,541,horizontal-flip,0.48700000000000004,shear,0.34,0.983,1,0.5479999999999999,0.0,-0.063
0.11599999999999999,2.299,0.18899999999999997,2.234,161,add-to-hue-and-saturation,0.358,fog,0.196,0.9690000000000001,1,0.547,0.0,-0.07299999999999998
0.125,2.278,0.255,2.168,342,crop,0.9520000000000001,shear,0.48700000000000004,0.9520000000000001,1,0.547,0.0,-0.13
0.113,2.294,0.175,2.273,163,add-to-hue-and-saturation,0.032,clouds,0.9309999999999999,0.767,1,0.546,0.0,-0.061999999999999986
0.115,2.301,0.11199999999999999,2.2680000000000002,288,clouds,0.688,fog,0.001,0.536,1,0.546,0.0,0.0030000000000000165
0.11,2.302,0.16699999999999998,2.28,1792,shear,0.009000000000000001,additive-gaussian-noise,0.069,0.905,1,0.545,0.0,-0.05699999999999998
0.127,2.29,0.147,2.229,505,gaussian-blur,0.517,translate-y,0.026000000000000002,0.42700000000000005,1,0.545,0.0,-0.01999999999999999
0.111,2.302,0.182,2.269,644,translate-x,0.319,translate-y,0.28600000000000003,0.428,1,0.545,0.0,-0.071
0.122,2.286,0.124,2.294,61,crop,0.8959999999999999,brighten,0.5720000000000001,0.511,1,0.545,0.0,-0.0020000000000000018
0.11699999999999999,2.2969999999999997,0.182,2.262,372,rotate,0.335,dropout,0.121,0.49700000000000005,1,0.545,0.0,-0.065
0.129,2.282,0.188,2.134,87,crop,0.5760000000000001,coarse-salt-pepper,0.017,0.9059999999999999,1,0.5429999999999999,0.0,-0.059
0.11800000000000001,2.295,0.13,2.228,209,fog,0.35,gaussian-blur,0.106,0.615,1,0.5429999999999999,0.0,-0.011999999999999997
0.11900000000000001,2.295,0.162,2.262,317,gaussian-blur,0.894,clouds,0.025,0.564,1,0.5429999999999999,0.0,-0.043
0.111,2.303,0.081,2.285,584,brighten,0.07,add-to-hue-and-saturation,0.165,0.425,1,0.5429999999999999,0.0,0.03
0.129,2.266,0.18600000000000003,2.14,338,horizontal-flip,0.508,gaussian-blur,0.986,0.966,1,0.542,0.0,-0.05700000000000002
