acc,loss,val_acc,val_loss,params_0,params_1,sample
0.145,2.268,0.215,2.188,2,0.018748008650431806,a
0.233,2.081,0.258,2.036,2,0.018748008650431806,a
0.267,1.974,0.306,1.967,2,0.018748008650431806,a
0.31,1.883,0.33,1.88,2,0.018748008650431806,a
0.338,1.812,0.349,1.806,2,0.018748008650431806,a
0.37,1.761,0.377,1.765,2,0.018748008650431806,a
0.381,1.711,0.39,1.726,2,0.018748008650431806,a
0.389,1.681,0.397,1.696,2,0.018748008650431806,a
0.394,1.638,0.393,1.707,2,0.018748008650431806,a
0.413,1.604,0.406,1.656,2,0.018748008650431806,a
0.425,1.576,0.408,1.644,2,0.018748008650431806,a
0.453,1.545,0.414,1.649,2,0.018748008650431806,a
0.448,1.515,0.417,1.615,2,0.018748008650431806,a
0.459,1.48,0.407,1.645,2,0.018748008650431806,a
0.471,1.452,0.411,1.657,2,0.018748008650431806,a
0.123,2.287,0.181,2.249,2,0.018748008650431806,b
0.216,2.149,0.255,2.071,2,0.018748008650431806,b
0.251,2.034,0.278,2.033,2,0.018748008650431806,b
0.29,1.975,0.275,1.975,2,0.018748008650431806,b
0.296,1.926,0.303,1.922,2,0.018748008650431806,b
0.335,1.867,0.326,1.878,2,0.018748008650431806,b
0.342,1.803,0.356,1.81,2,0.018748008650431806,b
0.365,1.75,0.365,1.752,2,0.018748008650431806,b
0.39,1.716,0.367,1.719,2,0.018748008650431806,b
0.398,1.673,0.39,1.678,2,0.018748008650431806,b
0.418,1.624,0.404,1.659,2,0.018748008650431806,b
0.433,1.601,0.363,1.713,2,0.018748008650431806,b
0.433,1.58,0.399,1.658,2,0.018748008650431806,b
0.448,1.54,0.405,1.606,2,0.018748008650431806,b
0.462,1.51,0.393,1.645,2,0.018748008650431806,b
0.16,2.248,0.213,2.149,2,0.018748008650431806,c
0.234,2.062,0.28,2.041,2,0.018748008650431806,c
0.26,2.0,0.247,2.0,2,0.018748008650431806,c
0.297,1.944,0.284,1.931,2,0.018748008650431806,c
0.312,1.887,0.317,1.918,2,0.018748008650431806,c
0.34,1.808,0.357,1.823,2,0.018748008650431806,c
0.349,1.767,0.347,1.793,2,0.018748008650431806,c
0.37,1.718,0.39,1.76,2,0.018748008650431806,c
0.388,1.666,0.389,1.695,2,0.018748008650431806,c
0.415,1.637,0.389,1.691,2,0.018748008650431806,c
0.433,1.583,0.404,1.671,2,0.018748008650431806,c
0.438,1.544,0.401,1.634,2,0.018748008650431806,c
0.448,1.522,0.395,1.656,2,0.018748008650431806,c
0.465,1.488,0.401,1.629,2,0.018748008650431806,c
0.473,1.445,0.418,1.597,2,0.018748008650431806,c
0.135,2.263,0.226,2.164,2,0.018748008650431806,d
0.232,2.064,0.259,2.014,2,0.018748008650431806,d
0.274,1.969,0.282,1.987,2,0.018748008650431806,d
0.303,1.895,0.331,1.872,2,0.018748008650431806,d
0.337,1.833,0.349,1.806,2,0.018748008650431806,d
0.367,1.755,0.358,1.788,2,0.018748008650431806,d
0.381,1.714,0.386,1.72,2,0.018748008650431806,d
0.381,1.686,0.37,1.728,2,0.018748008650431806,d
0.401,1.646,0.398,1.665,2,0.018748008650431806,d
0.418,1.616,0.389,1.661,2,0.018748008650431806,d
0.413,1.575,0.386,1.662,2,0.018748008650431806,d
0.443,1.544,0.409,1.597,2,0.018748008650431806,d
0.446,1.525,0.394,1.625,2,0.018748008650431806,d
0.467,1.479,0.414,1.593,2,0.018748008650431806,d
0.473,1.462,0.416,1.602,2,0.018748008650431806,d
0.126,2.293,0.106,2.284,2,0.018748008650431806,e
0.153,2.257,0.243,2.23,2,0.018748008650431806,e
0.237,2.126,0.278,2.052,2,0.018748008650431806,e
0.286,1.96,0.326,1.904,2,0.018748008650431806,e
0.322,1.854,0.345,1.83,2,0.018748008650431806,e
0.344,1.783,0.367,1.782,2,0.018748008650431806,e
0.37,1.744,0.382,1.76,2,0.018748008650431806,e
0.385,1.705,0.384,1.732,2,0.018748008650431806,e
0.401,1.673,0.389,1.701,2,0.018748008650431806,e
0.402,1.634,0.385,1.673,2,0.018748008650431806,e
0.426,1.592,0.401,1.64,2,0.018748008650431806,e
0.434,1.558,0.397,1.639,2,0.018748008650431806,e
0.447,1.54,0.407,1.634,2,0.018748008650431806,e
0.452,1.512,0.41,1.617,2,0.018748008650431806,e
0.459,1.472,0.422,1.602,2,0.018748008650431806,e
